id,route_id,source,carrier,flight_number,flight_date,booking_window,base_fare,taxes,total_fare,scraped_at,is_outlier,outlier_reason,departure_time,is_nonstop
fare_BOM-DEL_IX_2026-08-26_T+1_1787620650067_t6dw,BOM-DEL,EaseMyTrip,IX,IX-1389,2026-08-26,T+1,5380,1181,6561,2026-08-25T00:56:01.707Z,FALSE,"",22:20,TRUE
fare_BOM-DEL_IX_2026-08-26_T+1_1787620650067_te5m,BOM-DEL,EaseMyTrip,IX,IX-1050,2026-08-26,T+1,5380,1181,6561,2026-08-25T00:56:01.707Z,FALSE,"",14:45,TRUE
fare_BOM-DEL_6E_2026-08-26_T+1_1787620650067_fcc8,BOM-DEL,EaseMyTrip,6E,6E-5095,2026-08-26,T+1,5187,1138,6325,2026-08-25T00:56:01.707Z,FALSE,"",09:20,TRUE
fare_BOM-DEL_QP_2026-08-26_T+1_1787620650067_fnkh,BOM-DEL,EaseMyTrip,QP,QP-1834,2026-08-26,T+1,5381,1181,6562,2026-08-25T00:56:01.707Z,FALSE,"",10:00,TRUE
fare_BOM-DEL_QP_2026-08-26_T+1_1787620650067_o1nd,BOM-DEL,EaseMyTrip,QP,QP-1819,2026-08-26,T+1,5381,1181,6562,2026-08-25T00:56:01.707Z,FALSE,"",14:30,TRUE
fare_BOM-DEL_QP_2026-08-26_T+1_1787620650067_5usj,BOM-DEL,EaseMyTrip,QP,QP-1825,2026-08-26,T+1,5381,1181,6562,2026-08-25T00:56:01.707Z,FALSE,"",16:50,TRUE
fare_BOM-DEL_QP_2026-08-26_T+1_1787620650067_3zjh,BOM-DEL,EaseMyTrip,QP,QP-1111,2026-08-26,T+1,5381,1181,6562,2026-08-25T00:56:01.707Z,FALSE,"",05:25,TRUE
fare_BOM-DEL_QP_2026-08-26_T+1_1787620650067_sc0b,BOM-DEL,EaseMyTrip,QP,QP-1127,2026-08-26,T+1,5381,1181,6562,2026-08-25T00:56:01.707Z,FALSE,"",12:55,TRUE
fare_BOM-DEL_QP_2026-08-26_T+1_1787620650067_9xhh,BOM-DEL,EaseMyTrip,QP,QP-1835,2026-08-26,T+1,5381,1181,6562,2026-08-25T00:56:01.707Z,FALSE,"",11:50,TRUE
fare_BOM-DEL_6E_2026-08-26_T+1_1787620650067_q948,BOM-DEL,EaseMyTrip,6E,6E-314,2026-08-26,T+1,5381,1181,6562,2026-08-25T00:56:01.707Z,FALSE,"",05:00,TRUE
fare_BOM-DEL_6E_2026-08-26_T+1_1787620650067_6vk7,BOM-DEL,EaseMyTrip,6E,6E-385,2026-08-26,T+1,5381,1181,6562,2026-08-25T00:56:01.707Z,FALSE,"",05:00,TRUE
fare_BOM-DEL_6E_2026-08-26_T+1_1787620650067_hr7r,BOM-DEL,EaseMyTrip,6E,6E-742,2026-08-26,T+1,5381,1181,6562,2026-08-25T00:56:01.707Z,FALSE,"",17:20,TRUE
fare_BOM-DEL_6E_2026-08-26_T+1_1787620650067_jin2,BOM-DEL,EaseMyTrip,6E,6E-833,2026-08-26,T+1,5381,1181,6562,2026-08-25T00:56:01.707Z,FALSE,"",17:20,TRUE
fare_BOM-DEL_6E_2026-08-26_T+1_1787620650067_a4r0,BOM-DEL,EaseMyTrip,6E,6E-6082,2026-08-26,T+1,5381,1181,6562,2026-08-25T00:56:01.707Z,FALSE,"",16:45,TRUE
fare_BOM-DEL_6E_2026-08-26_T+1_1787620650067_cshj,BOM-DEL,EaseMyTrip,6E,6E-517,2026-08-26,T+1,5381,1181,6562,2026-08-25T00:56:01.707Z,FALSE,"",16:00,TRUE
fare_BOM-DEL_6E_2026-08-26_T+1_1787620650067_755c,BOM-DEL,EaseMyTrip,6E,6E-232,2026-08-26,T+1,5381,1181,6562,2026-08-25T00:56:01.707Z,FALSE,"",16:00,TRUE
fare_BOM-DEL_6E_2026-08-26_T+1_1787620650067_djt1,BOM-DEL,EaseMyTrip,6E,6E-983,2026-08-26,T+1,5381,1181,6562,2026-08-25T00:56:01.707Z,FALSE,"",15:00,TRUE
fare_BOM-DEL_6E_2026-08-26_T+1_1787620650067_896e,BOM-DEL,EaseMyTrip,6E,6E-757,2026-08-26,T+1,5381,1181,6562,2026-08-25T00:56:01.707Z,FALSE,"",15:00,TRUE
fare_BOM-DEL_6E_2026-08-26_T+1_1787620650067_vo7h,BOM-DEL,EaseMyTrip,6E,6E-688,2026-08-26,T+1,5381,1181,6562,2026-08-25T00:56:01.707Z,FALSE,"",13:00,TRUE
fare_BOM-DEL_6E_2026-08-26_T+1_1787620650067_evhs,BOM-DEL,EaseMyTrip,6E,6E-584,2026-08-26,T+1,5381,1181,6562,2026-08-25T00:56:01.707Z,FALSE,"",13:00,TRUE
fare_BOM-DEL_6E_2026-08-26_T+1_1787620650067_idik,BOM-DEL,EaseMyTrip,6E,6E-6704,2026-08-26,T+1,5381,1181,6562,2026-08-25T00:56:01.707Z,FALSE,"",14:00,TRUE
fare_BOM-DEL_6E_2026-08-26_T+1_1787620650067_pibm,BOM-DEL,EaseMyTrip,6E,6E-692,2026-08-26,T+1,5381,1181,6562,2026-08-25T00:56:01.707Z,FALSE,"",06:00,TRUE
